DisNo.,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damage ('000 US$),Date,Index,Temperature (C),Wind Speed (km/h),Precipitation (mm),News Headlines
2000-0021-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Crittenden, Daviess, Webster districts (Kentucky province)",,,,,Kph,,,2000,1,2,2000,1,4.0,1.0,12.0,,150.0,162.0,210000.0,2000-01-02,1,,,,"['Knotts offers new direction for Dutch Fork football', 'Arab beekeepers association to tackle threats to local honey bees']"
2000-0067-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Bullock, Montgomery districts (Alabama province), Colquitt, Grady, Mitchell, Thomas, Tift districts (Georgia province), Washington district (Floride province), Lonoke, Prairie, Saline districts (Arkansas province)",,,,249.0,Kph,,,2000,2,13,2000,2,14.0,22.0,100.0,900.0,,1000.0,,2000-02-13,2,,,,"['This Day in Weather History: February 13th', 'SOUTHWEST GEORGIA TORNADO OUTBREAK OF 13-14 FEBRUARY 2000', 'Severe Weather Montgomery County February 13, 2000', 'TAE Southwest Georgia Tornado Outbreak of 13-14 February 2000']"
2000-0080-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Kentucky, Ohio provinces",Heavy rain,"Slide (land, mud, snow, rock)",,55000.0,Km2,,,2000,2,18,2000,2,22.0,3.0,,231.0,,231.0,,2000-02-18,3,,,,"['Hydrological impacts of a wildfire in a Boreal region: The Västmanland fire 2014 (Sweden)', 'Scientist Refutes Notion of Recent Climate as ""Uniquely Benign,"" Sees Evidence of Approaching Ice Age Despite Global Warming', 'ASIA-PACIFIC | High tides threaten Tuvalu']"
2000-0128-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Gainesville, Alachua areas (Alachua district, Florida province), Lafayette, Gulf districts (Florida province)",,,,113.0,Km2,,,2000,2,26,2000,2,26.0,,,600.0,,600.0,,2000-02-26,4,,,,"['Feb. 24, February, and Winter Season Temperature Records', 'February warmth shatters records in southeast Michigan', 'Windsor sees hottest February day on record', 'No Dancing On Sundays At Restaurant']"
2000-0175-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Fort Worth Texas city (Tarrant district, Texas province), Reagan, Burleson districts (Texas province)",,,,,Kph,,,2000,3,28,2000,3,28.0,5.0,,3000.0,300.0,3300.0,450000.0,2000-03-28,5,,,,"['Putin’s First Election, March 2000', ""Forecaster warns of tornado 'threat area' expansion"", 'Looking Back: Fort Worth & Arlington Tornadoes of March 28, 2000', 'Here’s where Reata Restaurant in Fort Worth will move. Hint: It’s not going far', ""Fort Worth tornado's devastation 10 years ago changed the face of downtown"", 'ASIA-PACIFIC | Olympic flame to light up Barrier Reef']"
2000-0232-USA,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,"Franklin, Jefferson districts (Missouri province)",Brief torrential rain,,,,Km2,,,2000,5,6,2000,5,9.0,2.0,,,2000.0,2000.0,,2000-05-06,6,,,,[]
2000-0240-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Los Alamos, Rio Arriba, Sandoval, Santa Fe districts (New Mexico province)",,,,194.0,Km2,,,2000,5,1,2000,9,,,,25000.0,400.0,25400.0,1500000.0,2000-05-01,7,,,,['China’s Big Mac Attack']
2000-0271-USA,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,Oklahoma province,Brief torrential rain,,,,Km2,,,2000,5,6,2000,5,9.0,1.0,,300.0,,300.0,,2000-05-06,8,,,,[]
2000-0279-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,Sarasota district (Florida province),,,,16.0,Km2,,,2000,5,14,2000,5,14.0,,,,,,,2000-05-14,9,,,,"[""Weather History Report: Mother's Day"", 'Fig. 1 Location map of Yongshun County and the locations of...']"
2000-0296-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,Liberty district (Texas province),,,,,Km2,,,2000,5,19,2000,5,19.0,,,240.0,,240.0,,2000-05-19,10,,,,['Tropical Cyclone Tauktae is fifth-strongest cyclone on record in the Arabian Sea']
