EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Biological,Epidemic,Nova Scotia,7/1/1942 12:00:00 AM,"In 1942, Nova Scotia experienced one of its worst polio outbreaks. There were 162 cases and 17 deaths reported where 80 cases were treated in the provincial polio clinic located in Halifax.",17,162,0,,,,12/31/1942 12:00:00 AM,,,,,,,,
Disaster,Natural,Biological,Epidemic,"Saint-Augustin, Quebec",1/4/1950 12:00:00 AM,"In January of 1950, a serious outbreak of polio occurred in the small community of Saint-Augustin, QC. At the time, the community consisted of 56 families (population 417). There were 55 cases of polio and 2 deaths. Furthermore, 4.4% of the total community experienced paralysis as a result of polio. ",2,55,0,,,,2/28/1950 12:00:00 AM,,,,,,,,
Disaster,Natural,Biological,Epidemic,"Saint-Leonard, New Brunswick",11/1/1927 12:00:00 AM,"In November of 1927, contaminated water from the St. John River caused an outbreak of typhoid in Saint-Leonard, NB. As a result, there were 200 cases of typhoid but no reported deaths.",0,200,0,,,,11/20/1927 12:00:00 AM,,,,,,,,
Disaster,Natural,Biological,Epidemic,Manitoba,6/17/1941 12:00:00 AM,"In mid-June of 1941, the second-worst polio epidemic in Manitoba began in the Winnipeg area. The epidemic quickly grew and peaked around August 12th with 196 cases being reported across the province. Roughly half of the cases were in Winnipeg (cases = 273) and its suburbs (cases = 186); 63% of communities and unorganized districts in Manitoba were affected. Children aged 5 to 14 consisted of more than half of the cases. Of the 966 cases reported, 18 did not survive. This epidemic was further complicated by an encephalitis outbreak that was also occurring in Manitoba and Saskatchewan; 32 cases originally diagnosed as polio were changed to encephalitis and 10 cases reported as encephalitis were changed to polio. ",18,948,0,,,,11/11/1941 12:00:00 AM,,,,,,,,
Disaster,Natural,Biological,Epidemic,Canada,6/1/1937 12:00:00 AM,"The cross-country polio outbreak in 1937 was significant, however, some provinces were more impacted than others. Over 65% of the cases were recorded in Ontario (cases = 2,546), and provincially, Saskatchewan (cases = 519), New Brunswick (cases = 164), and Nova Scotia (cases = 43) also recorded their largest epidemic to that point (i.e. before 1937). Of the 2,546 cases in Ontario, 758 were registered in Toronto. Likewise, of the 119 deaths in Ontario, 31 were in Toronto. Over half of the cases in Ontario had paralytic symptoms, and in the following year 839 still experienced a certain degree of paralysis. The infamous iron lungs treated 63 individuals in Ontario in which there was survival rate of about 36%. At the time, this was considered the worst epidemic of polio in Canadian history.",200,3905,0,,,,12/31/1937 12:00:00 AM,,,,,,,,
Disaster,Natural,Biological,Epidemic,"New Brunswick",7/1/1941 12:00:00 AM,"In early July of 1941, a polio epidemic began in New Brunswick and was first reported in Fredericton. The epidemic quickly grew; by the end of July there were 17 cases and 2 deaths, and by mid-August there were 39 cases. Although the most severely impacted area was central New Brunswick, by September Saint John and Westmorland Counties reported cases. The majority of cases were in children under the age of 10; 65% of the cases reported paralysis. In 1941, there were a total of 427 cases of polio reported and 19 deaths. Arguably this was the worst polio epidemic in New Brunswick, and was only rivalled by the epidemic in 1952.",19,408,0,,,,12/31/1941 12:00:00 AM,,,,,,,,
Disaster,Natural,Biological,Epidemic,Ontario,7/1/1930 12:00:00 AM,"In July of 1930, a polio epidemic began in Ontario with 12 cases being reported. The weekly number of cases was very high from mid-August to the end of October; with September reporting the highest number at 215 cases. Toronto and the surrounding area were significantly affected where 236 cases were reported in Toronto alone. There were 671 cases of polio - 35% were between the ages of 5 and 9 - and 61 deaths.",61,671,0,,,,12/31/1930 12:00:00 AM,,,,,,,,
Disaster,Natural,Biological,Epidemic,"Interior British Columbia",9/1/1927 12:00:00 AM,"In September of 1927, an epidemic of polio began in British Columbia - in particular the Okanagan and Kootenay regions. As a result, there were 182 cases, and 37 reported deaths.",37,182,0,,,,12/31/1927 12:00:00 AM,,,,,,,,
Disaster,Natural,Biological,Epidemic,"Ste-Scholastique, Quebec",10/1/1931 12:00:00 AM,"In October of 1931, contaminated water from the sewer system entered the water reservoir and water supply for Ste. Scholastique, QC. Over the course of the month, a quarter of the population became infected. During this typhoid outbreak, there were 200 cases and 20 deaths.",20,200,0,,,,10/31/1931 12:00:00 AM,,,,,,,,
Disaster,Natural,Biological,Epidemic,"Saint-Jerome, Quebec",11/1/1923 12:00:00 AM,"In November of 1923, an outbreak of typhoid was reported in Saint-Jerome, QC. As a result, there were 115 cases of typhoid and 4 deaths.",4,115,0,,,,11/30/1923 12:00:00 AM,,,,,,,,
