DisNo.,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damage ('000 US$)
2000-0020-IND,Meteorological,Extreme temperature,Cold wave,,IND,India,Southern Asia,Asia,"Bihar, Uttar Pradesh, West Bengal provinces",,,,,°C,,,2000,1,,2000,1,,275,,,,,
2000-0021-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Crittenden, Daviess, Webster districts (Kentucky province)",,,,,Kph,,,2000,1,2,2000,1,4,1,12,,150,162,210000
2000-0067-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Bullock, Montgomery districts (Alabama province), Colquitt, Grady, Mitchell, Thomas, Tift districts (Georgia province), Washington district (Floride province), Lonoke, Prairie, Saline districts (Arkansas province)",,,,249,Kph,,,2000,2,13,2000,2,14,22,100,900,,1000,
2000-0080-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Kentucky, Ohio provinces",Heavy rain,"Slide (land, mud, snow, rock)",,55000,Km2,,,2000,2,18,2000,2,22,3,,231,,231,
2000-0128-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Gainesville, Alachua areas (Alachua district, Florida province), Lafayette, Gulf districts (Florida province)",,,,113,Km2,,,2000,2,26,2000,2,26,,,600,,600,
2000-0175-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Fort Worth Texas city (Tarrant district, Texas province), Reagan, Burleson districts (Texas province)",,,,,Kph,,,2000,3,28,2000,3,28,5,,3000,300,3300,450000
2000-0232-USA,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,"Franklin, Jefferson districts (Missouri province)",Brief torrential rain,,,,Km2,,,2000,5,6,2000,5,9,2,,,2000,2000,
2000-0240-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Los Alamos, Rio Arriba, Sandoval, Santa Fe districts (New Mexico province)",,,,194,Km2,,,2000,5,,2000,9,,,,25000,400,25400,1500000
2000-0271-USA,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,Oklahoma province,Brief torrential rain,,,,Km2,,,2000,5,6,2000,5,9,1,,300,,300,
2000-0279-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,Sarasota district (Florida province),,,,16,Km2,,,2000,5,14,2000,5,14,,,,,,
2000-0296-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,Liberty district (Texas province),,,,,Km2,,,2000,5,19,2000,5,19,,,240,,240,
2000-0297-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,"Franklin, Jefferson, Gasconade districts (Missouri province)",,,,,Km2,,,2000,5,23,2000,5,23,2,,300,,300,100000
2000-0332-IND,Hydrological,Flood,Flash flood,,IND,India,Southern Asia,Asia,"Yingkiang,Tuting villages (Upper Siang (70051) district, Arunachal Pradesh province), Along, Boleng villages (70054 district, Arunachal Pradesh province), Pasighat, Sika-bamin, Komlighat, Raneghat (70041 district, Arunachal Pradesh province), Tezu, Mahadevpur villages (Lohit district, Arunachal Pradesh province), Golaghat, Nagaon districts (Assam province),",,Broken Dam/Burst bank,,55000,Km2,,,2000,6,10,2000,6,10,20,,3000000,,3000000,
2000-0338-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Adams, Columbia, Crawford, Dane, Dodge, Grant, Green, Iowa, Juneau, La crosse, Lafayette, Monroe, Richland, Rock, Sauk, Vernon districts (Wisconsin province)",,,,,Kph,,,2000,5,26,2000,5,26,,,,,,28500
2000-0358-IND,Hydrological,Mass movement (wet),Landslide (wet),,IND,India,Southern Asia,Asia,"Moradabad, Bijnor districts (Uttar Pradesh province), Uttarakhand province",,,,,,,,2000,6,,2000,6,,43,,,,,
2000-0360-USA,Meteorological,Storm,Severe weather,,USA,United States of America,Northern America,Americas,"Anderson, Benton, Cheatham, Davidson, Henry, Hickman, Houston, Jackson, Knox, Lake, Obion, Perry, Pickett, Stewart districts (Tennessee province)",,,,,Kph,,,2000,5,23,2000,5,23,,,,,,
2000-0363-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Park, Jefferson, Larimer districts (Colorado province)",,,,85,Km2,,,2000,6,12,2000,6,12,,,800,210,1010,
2000-0406-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Hanford area (Benton district, Washington province)",,,,607,Km2,,,2000,6,27,2000,6,27,,2,8000,75,8077,
2000-0415-IND,Hydrological,Mass movement (wet),Landslide (wet),,IND,India,Southern Asia,Asia,"Ghatkopar village (Mumbai Suburban district, Maharashtra province)",Heavy rain,,,,,,,2000,7,12,2000,7,12,58,38,7000,,7038,
2000-0420-CAN,Meteorological,Storm,Tornado,,CAN,Canada,Northern America,Americas,"Pine Lake area (Division No. 8 district, Alberta province)",,,,300,Kph,,,2000,7,14,2000,7,14,11,140,,700,840,13000
2000-0433-USA,Meteorological,Extreme temperature,Heat wave,,USA,United States of America,Northern America,Americas,"Texas, Louisiana, Alabama provinces",,,,38,°C,,,2000,7,,2000,7,,35,,,,,
2000-0444-IND,Hydrological,Flood,Flash flood,,IND,India,Southern Asia,Asia,"East Siang, 70041, West Siang, 70054, Upper Siang (70051), 70045, 70050, Lower Dibang Valley districts (Arunachal Pradesh province)",,,,,Km2,,,2000,7,,2000,7,,130,,,,,
2000-0445-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Katihar, Sitamarhi districts (Bihar province), Kinnaur district (Himachal Pradesh province), Bankura, Barddhaman, Birbhum, Haora, Hugli, Maldah, Murshidabad, Nadia, North 24 Parganas, West Midnapore districts (West Bengal province), Pithoragarh, Naini Tal districts (Uttarakhand province), Ahmadabad district (Gujarat province), Andhra Pradesh, Assam, Arunachal Pradesh, Madhya Pradesh, Punjab, Uttar Pradesh, Maharashtra, Rajasthan, Chandigarh, Kerala",Monsoonal rain,,7087,300000,Km2,,,2000,8,2,2000,8,30,867,,22000000,,22000000,43000
2000-0450-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,Alaska province,,,,2363,Km2,,,2000,7,,2000,7,,,,,,,
2000-0463-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Granite Falls city (Yellow Medicine, Minnesota province)",,,,,Kph,,,2000,7,25,2000,7,25,1,15,900,120,1035,8100
2000-0465-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, South Dakota, Texas, Utah, Washington, Wyoming, Florida, North Dakota provinces",,,,680000,Km2,,,2000,7,,2000,8,,14,,1000,,1000,1000000
2000-0498-IND,Hydrological,Mass movement (wet),Landslide (wet),,IND,India,Southern Asia,Asia,"Pithoragarh, Naini Tal districts (Uttarakhand province)",,,,,,,,2000,8,11,2000,8,11,86,,,,,
2000-0500-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Morris, Sussex districts (New Jersey province)",Heavy rain,"Slide (land, mud, snow, rock)",,,Km2,,,2000,8,12,2000,8,14,,,175,,175,166000
2000-0502-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,Pennsylvania province,,,,,Km2,,,2000,7,30,2000,7,30,,,300,,300,
2000-0534-IND,Hydrological,Flood,Flash flood,,IND,India,Southern Asia,Asia,"Adilabad, Cuddapah, East Godavari, Guntur, Hyderabad, Karimnagar, Khammam, Krishna, Kurnool, Mahbubnagar, Medak, Nalgonda, Nellore, Nizamabad, Prakasam, Rangareddi, Vishakhapatnam, Warangal, West Godavari districts (Andhra Pradesh province)",Brief torrential rain,,,129500,Km2,,,2000,8,23,2000,8,31,179,16,,252000,252016,173000
2000-0598-USA,Geophysical,Earthquake,Ground movement,,USA,United States of America,Northern America,Americas,"Near Yountville city (Napa district, California province)",,,,4.9,Moment Magnitude,38.3788333,-122.4133333,2000,9,3,2000,9,3,,70,25000,104,25174,50000
2000-0610-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Birbhum, Bardhaman, Murshidabad, Maldah districts (West Bengal province), Dumka, Sahibganj, Deoghar districts (Jharkhand province), Banka, Bhagalpur, Munger, Sheikhpura districts (Bihar province)",Monsoonal rain,,,12680,Km2,,,2000,9,18,2000,10,21,884,,24600000,,24600000,691500
2000-0614-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Xenia city (Greene district, Ohio province)",,,,,Kph,,,2000,9,20,2000,9,20,1,115,,,115,90000
2000-0652-USA,Meteorological,Storm,Tropical cyclone,Leslie,USA,United States of America,Northern America,Americas,"Miami-Dade, Monroe, Broward, Collier districts (Florida province)",,,,,Kph,,,2000,10,4,2000,10,4,2,,14418,3015,17433,219000
2000-0738-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,North 24 Parganas district (West Bengal province),,,,309,Km2,,,2000,10,19,2000,10,19,6,,534035,,534035,
2000-0756-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Buffalo city (Erie district, New York province)",,,,,Kph,,,2000,11,20,2000,11,20,,,,,,
2000-0785-IND,Meteorological,Storm,Tropical cyclone,03B,IND,India,Southern Asia,Asia,"Nagappattinam, Thanjavur, Sirkali, Papanasam, Tiruvallur, Tiruvarur areas (Cuddalore district, Tamil Nadu province), Andhra Pradesh province",,,,120,Kph,,,2000,11,29,2000,11,29,,,30000,,30000,
2000-0838-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Texas, Oklahoma, New Mexico, Arkansas, Missouri, Minnesota provinces",,Transport accident,,,Kph,,,2000,12,24,2000,12,24,57,34,,,34,
2000-0865-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,Maui district (Hawaii province),Heavy rains,,,86,Km2,,,2000,11,2,2000,11,2,,,100,,100,20000
